TMA,Version,4,,,,,,,,,,
.,,,,,,,,,,,,
Key,Level1,Level2,Level3,ARL-SKT,LNL-SKT,CMT,GRT,Locate-with,Count Domain,Metric Description,Metric Group,Threshold
FE,,,Other_FB,TOPDOWN_FE_BOUND.OTHER / #SLOTS,TOPDOWN_FE_BOUND.OTHER / #SLOTS,TOPDOWN_FE_BOUND.OTHER / #SLOTS,TOPDOWN_FE_BOUND.OTHER / #SLOTS,,Slots,Counts the number of issue slots that were not delivered by the frontend due to other common frontend stalls not categorized.,,>0.05 & P
BAD,Bad_Speculation,,,TOPDOWN_BAD_SPECULATION.ALL_P / #SLOTS,TOPDOWN_BAD_SPECULATION.ALL_P / #SLOTS,TOPDOWN_BAD_SPECULATION.ALL_P / #SLOTS,( #SLOTS - ( TOPDOWN_FE_BOUND.ALL + TOPDOWN_BE_BOUND.ALL + TOPDOWN_RETIRING.ALL ) ) / #SLOTS,,Slots,Counts the total number of issue slots that were not consumed by the backend because allocation is stalled due to a mispredicted jump or a machine clear. Only issue slots wasted due to fast nukes such as memory ordering nukes are counted. Other nukes are not accounted for. Counts all issue slots blocked during this recovery window including relevant microcode flows and while uops are not yet available in the instruction queue (IQ). Also includes the issue slots that were consumed by the backend but were thrown away because they were younger than the mispredict or machine clear.,,>0.15
BAD,,Branch_Mispredicts,,TOPDOWN_BAD_SPECULATION.MISPREDICT / #SLOTS,TOPDOWN_BAD_SPECULATION.MISPREDICT / #SLOTS,TOPDOWN_BAD_SPECULATION.MISPREDICT / #SLOTS,TOPDOWN_BAD_SPECULATION.MISPREDICT / #SLOTS,,Slots,Counts the number of issue slots that were not consumed by the backend due to branch mispredicts,,>0.05 & P
BAD,,Machine_Clears,,TOPDOWN_BAD_SPECULATION.MACHINE_CLEARS / #SLOTS,TOPDOWN_BAD_SPECULATION.MACHINE_CLEARS / #SLOTS,TOPDOWN_BAD_SPECULATION.MACHINE_CLEARS / #SLOTS,TOPDOWN_BAD_SPECULATION.MACHINE_CLEARS / #SLOTS,,Slots,Counts the total number of issue slots that were not consumed by the backend because allocation is stalled due to a machine clear (nuke) of any kind including memory ordering and memory disambiguation,,>0.05 & P
BAD,,,Nuke,TOPDOWN_BAD_SPECULATION.NUKE / #SLOTS,TOPDOWN_BAD_SPECULATION.NUKE / #SLOTS,TOPDOWN_BAD_SPECULATION.NUKE / #SLOTS,TOPDOWN_BAD_SPECULATION.NUKE / #SLOTS,,Slots,Counts the number of issue slots that were not consumed by the backend due to a machine clear that requires the use of microcode (slow nuke),,>0.05 & P
BAD,,,Fast_Nuke,TOPDOWN_BAD_SPECULATION.FASTNUKE / #SLOTS,TOPDOWN_BAD_SPECULATION.FASTNUKE / #SLOTS,TOPDOWN_BAD_SPECULATION.FASTNUKE / #SLOTS,TOPDOWN_BAD_SPECULATION.FASTNUKE / #SLOTS,,Slots,"Counts the number of issue slots that were not consumed by the backend due to a machine clear that does not require the use of microcode, classified as a fast nuke, due to memory ordering, memory disambiguation and memory renaming",,>0.05 & P
BE,Backend_Bound,,,TOPDOWN_BE_BOUND.ALL_P / #SLOTS,TOPDOWN_BE_BOUND.ALL_P / #SLOTS,TOPDOWN_BE_BOUND.ALL_P / #SLOTS,TOPDOWN_BE_BOUND.ALL / #SLOTS,,Slots,"Counts the total number of issue slots that were not consumed by the backend due to backend stalls. Note that uops must be available for consumption in order for this event to count. If a uop is not available (IQ is empty), this event will not count",,>0.10
BE,,Core_Bound,,TOPDOWN_BE_BOUND.ALLOC_RESTRICTIONS / #SLOTS,TOPDOWN_BE_BOUND.ALLOC_RESTRICTIONS / #SLOTS,TOPDOWN_BE_BOUND.ALLOC_RESTRICTIONS / #SLOTS,TOPDOWN_BE_BOUND.ALLOC_RESTRICTIONS / #SLOTS,,Slots,"Counts the number of cycles due to backend bound stalls that are bounded by core restrictions and not attributed to an outstanding load or stores, or resource limitation",,>0.10 & P
BE,,,Allocation_Restriction,TOPDOWN_BE_BOUND.ALLOC_RESTRICTIONS / #SLOTS,TOPDOWN_BE_BOUND.ALLOC_RESTRICTIONS / #SLOTS,TOPDOWN_BE_BOUND.ALLOC_RESTRICTIONS / #SLOTS,TOPDOWN_BE_BOUND.ALLOC_RESTRICTIONS / #SLOTS,,Slots,Counts the number of issue slots that were not consumed by the backend due to certain allocation restrictions,,>0.10 & P
BE,,Resource_Bound,,( ( TOPDOWN_BE_BOUND.ALL_P / #SLOTS ) - Core_Bound ),( ( TOPDOWN_BE_BOUND.ALL_P / #SLOTS ) - Core_Bound ),( ( TOPDOWN_BE_BOUND.ALL_P / #SLOTS ) - Core_Bound ),( ( TOPDOWN_BE_BOUND.ALL / #SLOTS ) - Core_Bound ),,Slots,Counts the number of cycles the core is stalled due to a resource limitation,,>0.20 & P
BE,,,Mem_Scheduler,TOPDOWN_BE_BOUND.MEM_SCHEDULER / #SLOTS,TOPDOWN_BE_BOUND.MEM_SCHEDULER / #SLOTS,TOPDOWN_BE_BOUND.MEM_SCHEDULER / #SLOTS,TOPDOWN_BE_BOUND.MEM_SCHEDULER / #SLOTS,,Slots,Counts the number of issue slots that were not consumed by the backend due to memory reservation stalls in which a scheduler is not able to accept uops,,>0.10 & P
BE,,,Non_Mem_Scheduler,TOPDOWN_BE_BOUND.NON_MEM_SCHEDULER / #SLOTS,TOPDOWN_BE_BOUND.NON_MEM_SCHEDULER / #SLOTS,TOPDOWN_BE_BOUND.NON_MEM_SCHEDULER / #SLOTS,TOPDOWN_BE_BOUND.NON_MEM_SCHEDULER / #SLOTS,,Slots,"Counts the number of issue slots that were not consumed by the backend due to IEC or FPC RAT stalls, which can be due to FIQ or IEC reservation stalls in which the integer, floating point or SIMD scheduler is not able to accept uops",,>0.10 & P
BE,,,Register,TOPDOWN_BE_BOUND.REGISTER / #SLOTS,TOPDOWN_BE_BOUND.REGISTER / #SLOTS,TOPDOWN_BE_BOUND.REGISTER / #SLOTS,TOPDOWN_BE_BOUND.REGISTER / #SLOTS,,Slots,Counts the number of issue slots that were not consumed by the backend due to the physical register file unable to accept an entry (marble stalls),,>0.10 & P
BE,,,Reorder_Buffer,TOPDOWN_BE_BOUND.REORDER_BUFFER / #SLOTS,TOPDOWN_BE_BOUND.REORDER_BUFFER / #SLOTS,TOPDOWN_BE_BOUND.REORDER_BUFFER / #SLOTS,TOPDOWN_BE_BOUND.REORDER_BUFFER / #SLOTS,,Slots,Counts the number of issue slots that were not consumed by the backend due to the reorder buffer being full (ROB stalls),,>0.10 & P
BE,,,Serialization,TOPDOWN_BE_BOUND.SERIALIZATION / #SLOTS,TOPDOWN_BE_BOUND.SERIALIZATION / #SLOTS,TOPDOWN_BE_BOUND.SERIALIZATION / #SLOTS,TOPDOWN_BE_BOUND.SERIALIZATION / #SLOTS,,Slots,"Counts the number of issue slots that were not consumed by the backend due to scoreboards from the instruction queue (IQ), jump execution unit (JEU), or microcode sequencer (MS)",,>0.10 & P
RET,Retiring,,,TOPDOWN_RETIRING.ALL / #SLOTS,TOPDOWN_RETIRING.ALL / #SLOTS,TOPDOWN_RETIRING.ALL_P / #SLOTS,TOPDOWN_RETIRING.ALL / #SLOTS,,Slots,Counts the number of issue slots that result in retirement slots,,>0.75
.,metrics,,,,,,,,,,,
Info.Bottleneck,%_Mem_Exec_Bound_Cycles,,,100 * LD_HEAD.ANY_AT_RET / #CLKS,100 * LD_HEAD.ANY_AT_RET / #CLKS,100 * LD_HEAD.ANY_AT_RET / #CLKS,100 * LD_HEAD.ANY_AT_RET / #CLKS,,Cycles,Percentage of time that retirement is stalled by the Memory Cluster due to a pipeline stall. See Info.Mem_Exec_Bound,Mem_Exec,
Info.Bottleneck,%_Load_Miss_Bound_Cycles,,,100 * MEM_BOUND_STALLS_LOAD.ALL / #CLKS,100 * MEM_BOUND_STALLS_LOAD.ALL / #CLKS,100 * MEM_BOUND_STALLS_LOAD.ALL / #CLKS,100 * MEM_BOUND_STALLS.LOAD / #CLKS,,Cycles,Percentage of time that retirement is stalled due to an L1 miss. See Info.Load_Miss_Bound,Load_Store_Miss,
Info.Bottleneck,%_DTLB_Miss_Bound_Cycles,,,100 * ( LD_HEAD.DTLB_MISS_AT_RET + LD_HEAD.PGWALK_AT_RET ) / #CLKS,100 * ( LD_HEAD.DTLB_MISS_AT_RET + LD_HEAD.PGWALK_AT_RET ) / #CLKS,100 * ( LD_HEAD.DTLB_MISS_AT_RET + LD_HEAD.PGWALK_AT_RET ) / #CLKS,100 * ( LD_HEAD.DTLB_MISS_AT_RET + LD_HEAD.PGWALK_AT_RET ) / #CLKS,,Cycles,Percentage of time that retirement is stalled due to a first level data TLB miss,,
Info.Bottleneck,%_IFetch_Miss_Bound_Cycles,,,100 * MEM_BOUND_STALLS_IFETCH.ALL / #CLKS,100 * MEM_BOUND_STALLS_IFETCH.ALL / #CLKS,100 * MEM_BOUND_STALLS_IFETCH.ALL / #CLKS,100 * MEM_BOUND_STALLS.IFETCH / #CLKS,,Cycles,"Percentage of time that allocation and retirement is stalled by the Frontend Cluster due to an Ifetch Miss, either Icache or ITLB Miss. See Info.Ifetch_Bound",Ifetch,
Info.Core,IPC,,,INST_RETIRED.ANY / #CLKS,INST_RETIRED.ANY / #CLKS,INST_RETIRED.ANY / #CLKS,INST_RETIRED.ANY / #CLKS,,,Instructions Per Cycle,,
Info.Core,CPI,,,#CLKS / INST_RETIRED.ANY,#CLKS / INST_RETIRED.ANY,#CLKS / INST_RETIRED.ANY,#CLKS / INST_RETIRED.ANY,,,Cycles Per Instruction,,
Info.Core,UPI,,,TOPDOWN_RETIRING.ALL / INST_RETIRED.ANY,TOPDOWN_RETIRING.ALL / INST_RETIRED.ANY,TOPDOWN_RETIRING.ALL_P / INST_RETIRED.ANY,UOPS_RETIRED.ALL / INST_RETIRED.ANY,,,Uops Per Instruction,,
Info.Core,FLOPc,,,FP_FLOPS_RETIRED.ALL / #CLKS,FP_FLOPS_RETIRED.ALL / #CLKS,FP_FLOPS_RETIRED.ALL / #CLKS,#NA,,,Floating Point Operations Per Cycle,Flops,
Info.Br_Inst_Mix,IpBranch,,,INST_RETIRED.ANY / BR_INST_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY / BR_INST_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY / BR_INST_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY / BR_INST_RETIRED.ALL_BRANCHES,,,Instructions per Branch (lower number means higher occurrence rate),,
Info.Br_Inst_Mix,IpCall,,,INST_RETIRED.ANY / BR_INST_RETIRED.NEAR_CALL,INST_RETIRED.ANY / BR_INST_RETIRED.NEAR_CALL,INST_RETIRED.ANY / BR_INST_RETIRED.NEAR_CALL,INST_RETIRED.ANY / BR_INST_RETIRED.CALL,,,Instruction per (near) call (lower number means higher occurrence rate),,
Info.Br_Inst_Mix,IpFarBranch,,,INST_RETIRED.ANY / BR_INST_RETIRED.FAR_BRANCH:USER,INST_RETIRED.ANY / BR_INST_RETIRED.FAR_BRANCH:USER,INST_RETIRED.ANY / BR_INST_RETIRED.FAR_BRANCH:USER,INST_RETIRED.ANY / BR_INST_RETIRED.FAR_BRANCH:USER,,,"Instructions per Far Branch ( Far Branches apply upon transition from application to operating system, handling interrupts, exceptions) [lower number means higher occurrence rate]",,
Info.Br_Inst_Mix,IpMispredict,,,INST_RETIRED.ANY / BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY / BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY / BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY / BR_MISP_RETIRED.ALL_BRANCHES,,,Instructions per retired Branch Misprediction,,
Info.Br_Inst_Mix,IpMisp_Cond_Ntaken,,,INST_RETIRED.ANY / ( BR_MISP_RETIRED.COND - BR_MISP_RETIRED.COND_TAKEN ),INST_RETIRED.ANY / ( BR_MISP_RETIRED.COND - BR_MISP_RETIRED.COND_TAKEN ),INST_RETIRED.ANY / ( BR_MISP_RETIRED.COND - BR_MISP_RETIRED.COND_TAKEN ),INST_RETIRED.ANY / ( BR_MISP_RETIRED.COND - BR_MISP_RETIRED.COND_TAKEN ),,,Instructions per retired conditional Branch Misprediction where the branch was not taken,,
Info.Br_Inst_Mix,IpMisp_Cond_Taken,,,INST_RETIRED.ANY / BR_MISP_RETIRED.COND_TAKEN,INST_RETIRED.ANY / BR_MISP_RETIRED.COND_TAKEN,INST_RETIRED.ANY / BR_MISP_RETIRED.COND_TAKEN,INST_RETIRED.ANY / BR_MISP_RETIRED.COND_TAKEN,,,Instructions per retired conditional Branch Misprediction where the branch was taken,,
Info.Br_Inst_Mix,IpMisp_Ret,,,INST_RETIRED.ANY / BR_MISP_RETIRED.RETURN,INST_RETIRED.ANY / BR_MISP_RETIRED.RETURN,INST_RETIRED.ANY / BR_MISP_RETIRED.RETURN,INST_RETIRED.ANY / BR_MISP_RETIRED.RETURN,,,Instructions per retired return Branch Misprediction,,
Info.Br_Inst_Mix,IpMisp_Indirect,,,INST_RETIRED.ANY / BR_MISP_RETIRED.INDIRECT,INST_RETIRED.ANY / BR_MISP_RETIRED.INDIRECT,INST_RETIRED.ANY / BR_MISP_RETIRED.INDIRECT,INST_RETIRED.ANY / BR_MISP_RETIRED.INDIRECT,,,Instructions per retired indirect call or jump Branch Misprediction,,
Info.Arith_Inst_Mix,IpFLOP,,,INST_RETIRED.ANY / FP_FLOPS_RETIRED.ALL,INST_RETIRED.ANY / FP_FLOPS_RETIRED.ALL,INST_RETIRED.ANY / FP_FLOPS_RETIRED.ALL,#NA,,,Instructions per Floating Point (FP) Operation,Flops,
Info.Arith_Inst_Mix,IpFPArith,,,INST_RETIRED.ANY / FP_INST_RETIRED.ALL,INST_RETIRED.ANY / FP_INST_RETIRED.ALL,#NA,#NA,,,Instructions per FP Arithmetic instruction,Flops,
Info.Arith_Inst_Mix,IpFPArith_Scalar_SP,,,INST_RETIRED.ANY / FP_INST_RETIRED.32B_SP,INST_RETIRED.ANY / FP_INST_RETIRED.32B_SP,INST_RETIRED.ANY / FP_INST_RETIRED.32B_SP,#NA,,,Instructions per FP Arithmetic Scalar Single-Precision instruction,Flops,
Info.Arith_Inst_Mix,IpFPArith_Scalar_DP,,,INST_RETIRED.ANY / FP_INST_RETIRED.64B_DP,INST_RETIRED.ANY / FP_INST_RETIRED.64B_DP,INST_RETIRED.ANY / FP_INST_RETIRED.64B_DP,#NA,,,Instructions per FP Arithmetic Scalar Double-Precision instruction,Flops,
Info.Arith_Inst_Mix,IpFPArith_AVX128,,,INST_RETIRED.ANY / ( FP_INST_RETIRED.128B_DP + FP_INST_RETIRED.128B_SP ),INST_RETIRED.ANY / ( FP_INST_RETIRED.128B_DP + FP_INST_RETIRED.128B_SP ),INST_RETIRED.ANY / ( FP_INST_RETIRED.128B_DP + FP_INST_RETIRED.128B_SP ),#NA,,,Instructions per FP Arithmetic AVX/SSE 128-bit instruction,Flops,
Info.Arith_Inst_Mix,IpFPArith_AVX256,,,INST_RETIRED.ANY / ( FP_INST_RETIRED.256B_DP + FP_INST_RETIRED.256B_SP ),INST_RETIRED.ANY / ( FP_INST_RETIRED.256B_DP + FP_INST_RETIRED.256B_SP ),#NA,#NA,,,Instructions per FP Arithmetic AVX 256-bit instruction,Flops,
Info.Uop_Mix,Microcode_Uop_Ratio,,,100 * UOPS_RETIRED.MS / TOPDOWN_RETIRING.ALL,100 * UOPS_RETIRED.MS / TOPDOWN_RETIRING.ALL,100 * UOPS_RETIRED.MS / TOPDOWN_RETIRING.ALL_P,100 * UOPS_RETIRED.MS / UOPS_RETIRED.ALL,,,Percentage of all uops which are microcode ops,,
Info.Uop_Mix,FPDiv_Uop_Ratio,,,100 * UOPS_RETIRED.FPDIV / TOPDOWN_RETIRING.ALL,100 * UOPS_RETIRED.FPDIV / TOPDOWN_RETIRING.ALL,100 * UOPS_RETIRED.FPDIV / TOPDOWN_RETIRING.ALL_P,100 * UOPS_RETIRED.FPDIV / UOPS_RETIRED.ALL,,,Percentage of all uops which are FPDiv uops,,
Info.Uop_Mix,IDiv_Uop_Ratio,,,100 * UOPS_RETIRED.IDIV / TOPDOWN_RETIRING.ALL,100 * UOPS_RETIRED.IDIV / TOPDOWN_RETIRING.ALL,100 * UOPS_RETIRED.IDIV / TOPDOWN_RETIRING.ALL_P,100 * UOPS_RETIRED.IDIV / UOPS_RETIRED.ALL,,,Percentage of all uops which are IDiv uops,,
Info.Uop_Mix,X87_Uop_Ratio,,,100 * UOPS_RETIRED.X87 / TOPDOWN_RETIRING.ALL,100 * UOPS_RETIRED.X87 / TOPDOWN_RETIRING.ALL,100 * UOPS_RETIRED.X87 / TOPDOWN_RETIRING.ALL_P,100 * UOPS_RETIRED.X87 / UOPS_RETIRED.ALL,,,Percentage of all uops which are x87 uops,,
Info.Mem_Mix,IpLoad,,,INST_RETIRED.ANY / MEM_UOPS_RETIRED.ALL_LOADS,INST_RETIRED.ANY / MEM_UOPS_RETIRED.ALL_LOADS,INST_RETIRED.ANY / MEM_UOPS_RETIRED.ALL_LOADS,INST_RETIRED.ANY / MEM_UOPS_RETIRED.ALL_LOADS,,,Instructions per Load,,
Info.Mem_Mix,IpStore,,,INST_RETIRED.ANY / MEM_UOPS_RETIRED.ALL_STORES,INST_RETIRED.ANY / MEM_UOPS_RETIRED.ALL_STORES,INST_RETIRED.ANY / MEM_UOPS_RETIRED.ALL_STORES,INST_RETIRED.ANY / MEM_UOPS_RETIRED.ALL_STORES,,,Instructions per Store,,
Info.Mem_Mix,MemLoad_Ratio,,,1000 * MEM_UOPS_RETIRED.ALL_LOADS / TOPDOWN_RETIRING.ALL,1000 * MEM_UOPS_RETIRED.ALL_LOADS / TOPDOWN_RETIRING.ALL,1000 * MEM_UOPS_RETIRED.ALL_LOADS / TOPDOWN_RETIRING.ALL_P,1000 * MEM_UOPS_RETIRED.ALL_LOADS / UOPS_RETIRED.ALL,,,Ratio of mem load uops to all uops,,
Info.Mem_Mix,Load_Splits_Ratio,,,100 * MEM_UOPS_RETIRED.SPLIT_LOADS / MEM_UOPS_RETIRED.ALL_LOADS,100 * MEM_UOPS_RETIRED.SPLIT_LOADS / MEM_UOPS_RETIRED.ALL_LOADS,100 * MEM_UOPS_RETIRED.SPLIT_LOADS / MEM_UOPS_RETIRED.ALL_LOADS,100 * MEM_UOPS_RETIRED.SPLIT_LOADS / MEM_UOPS_RETIRED.ALL_LOADS,,,Percentage of total non-speculative loads that are splits,,
Info.Mem_Mix,Load_Locks_Ratio,,,100 * MEM_UOPS_RETIRED.LOCK_LOADS / MEM_UOPS_RETIRED.ALL_LOADS,100 * MEM_UOPS_RETIRED.LOCK_LOADS / MEM_UOPS_RETIRED.ALL_LOADS,100 * MEM_UOPS_RETIRED.LOCK_LOADS / MEM_UOPS_RETIRED.ALL_LOADS,100 * MEM_UOPS_RETIRED.LOCK_LOADS / MEM_UOPS_RETIRED.ALL_LOADS,,,Percentage of total non-speculative loads that perform one or more locks,,
Info.Mem_Exec_Blocks,%_Loads_with_StoreFwdBlk,,,100 * LD_BLOCKS.DATA_UNKNOWN / MEM_UOPS_RETIRED.ALL_LOADS,100 * LD_BLOCKS.DATA_UNKNOWN / MEM_UOPS_RETIRED.ALL_LOADS,100 * LD_BLOCKS.DATA_UNKNOWN / MEM_UOPS_RETIRED.ALL_LOADS,100 * LD_BLOCKS.DATA_UNKNOWN / MEM_UOPS_RETIRED.ALL_LOADS,,,Percentage of total non-speculative loads with a store forward or unknown store address block,,
Info.Mem_Exec_Blocks,%_Loads_with_AdressAliasing,,,100 * LD_BLOCKS.ADDRESS_ALIAS / MEM_UOPS_RETIRED.ALL_LOADS,100 * LD_BLOCKS.ADDRESS_ALIAS / MEM_UOPS_RETIRED.ALL_LOADS,100 * LD_BLOCKS.ADDRESS_ALIAS / MEM_UOPS_RETIRED.ALL_LOADS,100 * LD_BLOCKS.4K_ALIAS / MEM_UOPS_RETIRED.ALL_LOADS,,,Percentage of total non-speculative loads with an address aliasing block,,
Info.Mem_Exec_Bound,%_LoadHead_with_STLBHit,,,100 * LD_HEAD.DTLB_MISS_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.DTLB_MISS_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.DTLB_MISS_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.DTLB_MISS_AT_RET / LD_HEAD.ANY_AT_RET,,,Percentage of Memory Execution Bound due to a second level TLB miss,,
Info.Mem_Exec_Bound,%_LoadHead_with_Pagewalk,,,100 * LD_HEAD.PGWALK_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.PGWALK_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.PGWALK_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.PGWALK_AT_RET / LD_HEAD.ANY_AT_RET,,,Percentage of Memory Execution Bound due to a pagewalk,,
Info.Mem_Exec_Bound,%_LoadHead_with_StoreFwding,,,100 * LD_HEAD.ST_ADDR_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.ST_ADDR_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.ST_ADDR_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.ST_ADDR_AT_RET / LD_HEAD.ANY_AT_RET,,,Percentage of Memory Execution Bound due to a store forward address match,,
Info.Mem_Exec_Bound,%_LoadHead_with_OtherPipelineBlks,,,100 * LD_HEAD.OTHER_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.OTHER_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.OTHER_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.OTHER_AT_RET / LD_HEAD.ANY_AT_RET,,,"Percentage of Memory Execution Bound due to other block cases, such as pipeline conflicts, fences, etc",,
Info.Mem_Exec_Bound,%_LoadHead_with_L1miss,,,100 * LD_HEAD.L1_MISS_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.L1_MISS_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.L1_MISS_AT_RET / LD_HEAD.ANY_AT_RET,100 * LD_HEAD.L1_MISS_AT_RET / LD_HEAD.ANY_AT_RET,,,Percentage of Memory Execution Bound due to a first level data cache miss,,
Info.Load_Store_Bound,Store_Bound,,,100 * ( MEM_SCHEDULER_BLOCK.ST_BUF / MEM_SCHEDULER_BLOCK.ALL ) * ( TOPDOWN_BE_BOUND.MEM_SCHEDULER / #SLOTS ),100 * ( MEM_SCHEDULER_BLOCK.ST_BUF / MEM_SCHEDULER_BLOCK.ALL ) * ( TOPDOWN_BE_BOUND.MEM_SCHEDULER / #SLOTS ),100 * ( MEM_SCHEDULER_BLOCK.ST_BUF / MEM_SCHEDULER_BLOCK.ALL ) * ( TOPDOWN_BE_BOUND.MEM_SCHEDULER / #SLOTS ),100 * ( MEM_SCHEDULER_BLOCK.ST_BUF / MEM_SCHEDULER_BLOCK.ALL ) * ( TOPDOWN_BE_BOUND.MEM_SCHEDULER / #SLOTS ),,,Counts the number of cycles the core is stalled due to store buffer full,load_store_bound,
