TMA,Version,5.1-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0730-full,,,full,full,full;bot;,full,full,full,full
.,,,Confidential,,,,,Server,,Server,Server,Server,,,,Server,,Server,Server,,Server,,Server,,Server,,Server,,Server,,,,,,,,,,,;bot;EDP;perf,,,,
Bottleneck,Other_Bottlenecks,,,,,,,,,,,,,,,,,,,,,100 - ( Big_Code + Instruction_Fetch_BW + Mispredictions + Data_Cache_Memory_Bandwidth + Data_Cache_Memory_Latency + Memory_Data_TLBs + Memory_Synchronization + Compute_Bound_Est + Irregular_Overhead + Branching_Overhead + Useful_Work ) ,,,,,,,,,,Scaled_Slots,Total pipeline cost of remaining bottlenecks in the back-end. Examples include data-dependencies (Core Bound when Low ILP) and other unlisted memory-related stalls.,> 20,5.0,BvOB;Cor;Offcore,,pub/5.0,0,;bot;EDP;perf,,,,
Bottleneck,Branching_Overhead,,,,,,,,,,,,,,,,,,,,,100 * #Branching_Retired,,,,,,,,,,Scaled_Slots,Total pipeline cost of instructions used for program control-flow - a subset of the Retiring category in TMA. Examples include function calls; loops and alignments. (A lower bound),> 5,4.8,BvBO;Ret,,pub/5.0,0,;bot;EDP;perf,,Tree+#Branching_Retired,Consider Loop Unrolling or function inlining optimizations,
Bottleneck,Useful_Work,,,,,,,,,,,,,,,,,,,,,100 * ( Retiring - #Branching_Retired - #Assist_Retired ),,,,,,,,,,Scaled_Slots,"Total pipeline cost of ""useful operations"" - the portion of Retiring category not covered by Branching_Overhead nor Irregular_Overhead.",> 20,4.8,BvUW;Ret,,pub/5.0,0,;bot;EDP;perf,,InTree,,
.,tree,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,5.0,,,pub,-,;bot;,,,,
FE,Frontend_Bound,,,,,,PERF_METRICS.FRONTEND_BOUND / #PERF_METRICS_SUM if #PERF_METRICS_MSR else IDQ_BUBBLES.CORE / SLOTS,,,,,,PERF_METRICS.FRONTEND_BOUND / #PERF_METRICS_SUM - INT_MISC.UOP_DROPPING / SLOTS if #PERF_METRICS_MSR else ( IDQ_BUBBLES.CORE - INT_MISC.UOP_DROPPING ) / SLOTS,,,,PERF_METRICS.FRONTEND_BOUND / #PERF_METRICS_SUM - INT_MISC.UOP_DROPPING / SLOTS if #PERF_METRICS_MSR else ( IDQ_UOPS_NOT_DELIVERED.CORE - INT_MISC.UOP_DROPPING ) / SLOTS,,,,,,,,,,,,,IDQ_UOPS_NOT_DELIVERED.CORE / SLOTS,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX/LNL ? #NA : FRONTEND_RETIRED.LATENCY_GE_4_PS,Slots,This category represents fraction of slots where the processor's Frontend undersupplies its Backend. Frontend denotes the first part of the processor core responsible to fetch operations that are executed later on by the Backend part. Within the Frontend; a branch predictor predicts the next address to fetch; cache-lines are fetched from the memory subsystem; parsed into instructions; and lastly decoded into micro-operations (uops). Ideally the Frontend can issue Pipeline_Width uops every cycle to the Backend. Frontend Bound denotes unutilized issue-slots when there is no Backend stall; i.e. bubbles where Frontend delivered no uops while Backend could have accepted them. For example; stalls due to instruction-cache misses would be categorized under Frontend Bound.,> 0.15,4.3,BvFB;BvIO;TmaL1;PGO,,pub/v3,L1,;bot;,,,,
FE,,Fetch_Latency,,,,,PERF_METRICS.FETCH_LATENCY / #PERF_METRICS_SUM if #PERF_METRICS_MSR else IDQ_BUBBLES.FETCH_LATENCY / CLKS,,,,,,( PERF_METRICS.FETCH_LATENCY / #PERF_METRICS_SUM - INT_MISC.UOP_DROPPING / SLOTS ) if #PERF_METRICS_MSR else ( IDQ_BUBBLES.CYCLES_0_UOPS_DELIV.CORE * #Pipeline_Width - INT_MISC.UOP_DROPPING ) / SLOTS,,,,( #Pipeline_Width * IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE - INT_MISC.UOP_DROPPING ) / SLOTS,,,,,#Pipeline_Width * IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE / SLOTS,,#Pipeline_Width * IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE / SLOTS,,,,,,#Pipeline_Width * #Frontend_Latency_Cycles / SLOTS,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX ? RS_EVENTS.EMPTY_END : FRONTEND_RETIRED.LATENCY_GE_16_PS;FRONTEND_RETIRED.LATENCY_GE_8_PS,Slots,This metric represents fraction of slots the CPU was stalled due to Frontend latency issues.  For example; instruction-cache misses; iTLB misses or fetch stalls after a branch misprediction are categorized under Frontend Latency. In such cases; the Frontend eventually delivers no uops for some period.,> 0.1 & P,4.3,Frontend;TmaL2,,pub/v3,L2,;bot;,,,,
FE,,,ICache_Misses,,,,,,,,,,,,,,ICACHE_DATA.STALLS / CLKS,,,,,( ICACHE_16B.IFDATA_STALL + 2 * ICACHE_16B.IFDATA_STALL:c1:e1 ) / CLKS,,,,ICACHE.IFDATA_STALL / CLKS,,ICACHE.IFETCH_STALL / CLKS - ITLB_Misses,,#NA,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX ? #NA : FRONTEND_RETIRED.L2_MISS_PS;FRONTEND_RETIRED.L1I_MISS_PS,Clocks,This metric represents fraction of cycles the CPU was stalled due to instruction cache misses.,> 0.05 & P,4.6,BigFootprint;BvBC;FetchLat;IcMiss,,pub/v3,L3,;bot;,,,Using compiler's Profile-Guided Optimization (PGO) can reduce i-cache misses through improved hot code layout.,
FE,,,,Code_L2_Hit,,,,,"max( 0 , FRONTEND_RETIRED.L1I_MISS*$PEBS / CLKS - Code_L2_Miss )",,,,,,,,"max( 0 , ICache_Misses - Code_L2_Miss )",,,,,,,,,,,,,,,Clocks_Retired,This metric estimates fraction of cycles the CPU was stalled due to instruction cache misses that hit in the L2 cache.,> 0.05 & P,5.0,IcMiss;FetchLat;Offcore,,,L4,,,,,
FE,,,,Code_L2_Miss,,,,,FRONTEND_RETIRED.L2_MISS*$PEBS / CLKS,,,,,,,,OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_CODE_RD / CLKS,,,,,,,,,,,,,,,Clocks_Retired,This metric estimates fraction of cycles the CPU was stalled due to instruction cache misses that miss in the L2 cache.,> 0.05 & P,5.0,IcMiss;FetchLat;Offcore,,,L4,,,,,
FE,,,ITLB_Misses,,,,,,,,,,,,,,,,,,,ICACHE_TAG.STALLS / CLKS,,,,,,,,#ITLB_Miss_Cycles / CLKS,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX ? ITLB_MISSES.WALK_COMPLETED : FRONTEND_RETIRED.STLB_MISS_PS;FRONTEND_RETIRED.ITLB_MISS_PS,Clocks,This metric represents fraction of cycles the CPU was stalled due to Instruction TLB (ITLB) misses.,> 0.05 & P,4.6,BigFootprint;BvBC;FetchLat;MemoryTLB,,pub/v3,L3,;bot;,,,"Consider large 2M pages for code (selectively prefer hot large-size function, due to limited 2M entries). Linux options: standard binaries use libhugetlbfs; Hfsort.",https://github.com/libhugetlbfs/libhugetlbfs;https://research.fb.com/publications/optimizing-function-placement-for-large-scale-data-center-applications-2/
FE,,,,Code_STLB_Hit,,,,,"max( 0 , FRONTEND_RETIRED.ITLB_MISS*$PEBS / CLKS - Code_STLB_Miss )",,,,,,,,,,,,,"max( 0 , ITLB_Misses - Code_STLB_Miss )",,,,,,,,#NA,,Clocks_Retired,"This metric roughly estimates the fraction of cycles where the (first level) ITLB was missed by instructions fetches, that later on hit in second-level TLB (STLB)",> 0.05 & P,5.0,FetchLat;MemoryTLB,,,L4,,,,,
FE,,,,Code_STLB_Miss,,,,,FRONTEND_RETIRED.STLB_MISS*$PEBS / CLKS,,,,,,,,,,,,,ITLB_MISSES.WALK_ACTIVE / CLKS,,,,,,,,#NA,,Clocks_Retired,"This metric estimates the fraction of cycles where the Second-level TLB (STLB) was missed by instruction fetches, performing a hardware page walk",> 0.05 & P,5.0,FetchLat;MemoryTLB,1.0,,L4,,,,,
FE,,,,,Code_STLB_Miss_4K,,,,ITLB_MISSES.WALK_ACTIVE / CLKS * ITLB_MISSES.WALK_COMPLETED_4K / ( ITLB_MISSES.WALK_COMPLETED_4K + ITLB_MISSES.WALK_COMPLETED_2M_4M ),,,,,,,,,,,,,Code_STLB_Miss * ITLB_MISSES.WALK_COMPLETED_4K / ( ITLB_MISSES.WALK_COMPLETED_4K + ITLB_MISSES.WALK_COMPLETED_2M_4M ),,,,,,,,,,Clocks_Estimated,This metric estimates the fraction of cycles to walk the memory paging structures to cache translation of 4 KB pages for (instruction) code accesses.,> 0.05 & P,5.0,FetchLat;MemoryTLB,,,L5,,,ZeroOk,,
FE,,,,,Code_STLB_Miss_2M,,,,ITLB_MISSES.WALK_ACTIVE / CLKS * ITLB_MISSES.WALK_COMPLETED_2M_4M / ( ITLB_MISSES.WALK_COMPLETED_4K + ITLB_MISSES.WALK_COMPLETED_2M_4M ),,,,,,,,,,,,,Code_STLB_Miss * ITLB_MISSES.WALK_COMPLETED_2M_4M / ( ITLB_MISSES.WALK_COMPLETED_4K + ITLB_MISSES.WALK_COMPLETED_2M_4M ),,,,,,,,,,Clocks_Estimated,This metric estimates the fraction of cycles to walk the memory paging structures to cache translation of 2 or 4 MB pages for (instruction) code accesses.,> 0.05 & P,5.0,FetchLat;MemoryTLB,,,L5,,,ZeroOk,,
FE,,,Branch_Resteers,,,,,,,,,,INT_MISC.CLEAR_RESTEER_CYCLES / CLKS + Unknown_Branches,,,,,,,,,INT_MISC.CLEAR_RESTEER_CYCLES / CLKS + #BAClear_Cost * BACLEARS.ANY / CLKS,,,,,,,,#BAClear_Cost * ( BR_MISP_RETIRED.ALL_BRANCHES + MACHINE_CLEARS.COUNT + BACLEARS.ANY ) / CLKS,BR_MISP_RETIRED.ALL_BRANCHES,Clocks,This metric represents fraction of cycles the CPU was stalled due to Branch Resteers. Branch Resteers estimates the Frontend delay in fetching operations from corrected path; following all sorts of miss-predicted branches. For example; branchy code with lots of miss-predictions might get categorized under Branch Resteers. Note the value of this node may overlap with its siblings.,> 0.05 & P; ~overlap,4.6,FetchLat,,pub/v3,L3,;bot;,,,,
FE,,,,Mispredicts_Resteers,,,,,,,,,,,,,,,,,,#Mispred_Clears_Fraction * INT_MISC.CLEAR_RESTEER_CYCLES / CLKS,,BR_MISP_RETIRED.ALL_BRANCHES * Branch_Resteers / ( BR_MISP_RETIRED.ALL_BRANCHES + MACHINE_CLEARS.COUNT + BACLEARS.ANY ),,,,,,#NA,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX ? #NA : INT_MISC.CLEAR_RESTEER_CYCLES,Clocks,This metric represents fraction of cycles the CPU was stalled due to Branch Resteers as a result of Branch Misprediction at execution stage. ,> 0.05 & P; $issueBM,4.3,BadSpec;BrMispredicts;BvMP,,pub/v4.3,L4,;bot;,,,,
FE,,,,Clears_Resteers,,,,,,,,,,,,,,,,,,( 1 - #Mispred_Clears_Fraction ) * INT_MISC.CLEAR_RESTEER_CYCLES / CLKS,,MACHINE_CLEARS.COUNT * Branch_Resteers / ( BR_MISP_RETIRED.ALL_BRANCHES + MACHINE_CLEARS.COUNT + BACLEARS.ANY ),,,,,,#NA,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX ? #NA : INT_MISC.CLEAR_RESTEER_CYCLES,Clocks,This metric represents fraction of cycles the CPU was stalled due to Branch Resteers as a result of Machine Clears. ,> 0.05 & P; $issueMC,4.3,BadSpec;MachineClears,,pub/v4.3,L4,;bot;,,,,
FE,,,,Unknown_Branches,,,,,,,,,INT_MISC.UNKNOWN_BRANCH_CYCLES / CLKS,,,,,,,,,#BAClear_Cost * BACLEARS.ANY / CLKS,,Branch_Resteers - Mispredicts_Resteers - Clears_Resteers,,,,,,#NA,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX/SKL/KBL/KBLR/CFL/SKX/CLX/CPX/ICL/ICX/TGL/RKL ? BACLEARS.ANY : FRONTEND_RETIRED.UNKNOWN_BRANCH,Clocks,This metric represents fraction of cycles the CPU was stalled due to new branch address clears. These are fetched branches the Branch Prediction Unit was unable to recognize (e.g. first time the branch is fetched or hitting BTB capacity limit) hence called Unknown Branches,> 0.05 & P,4.3,BigFootprint;BvBC;FetchLat,,pub/v4.3,L3,;bot;,,,,
FE,,,MS_Switches,,,,#MS_Switches_Cost * IDQ.MS_SWITCHES / CLKS,,,,,,#MS_Switches_Cost * UOPS_RETIRED.MS:c1:e1 / #Retire_Fraction / CLKS,,,,,,,,,,,,,,,,,#MS_Switches_Cost * IDQ.MS_SWITCHES / CLKS,MTL/ADL/SPR/SPR-HBM ? FRONTEND_RETIRED.MS_FLOWS : IDQ.MS_SWITCHES,Clocks_Estimated,This metric estimates the fraction of cycles when the CPU was stalled due to switches of uop delivery to the Microcode Sequencer (MS). Commonly used instructions are optimized for delivery by the DSB (decoded i-cache) or MITE (legacy instruction decode) pipelines. Certain operations cannot be handled natively by the execution pipeline; and must be performed by microcode (small programs injected into the execution stream). Switching to the MS too often can negatively impact performance. The MS is designated to deliver long uop flows required by CISC instructions like CPUID; or uncommon conditions like Floating Point Assists when dealing with Denormals.,> 0.05 & P; $issueMC; $issueMS; $issueMV; $issueSO,4.6,FetchLat;MicroSeq,1.0,pub/v3.4,L3,;bot;,,,,
FE,,,LCP,,,,,,,,,,,,,,,,,,,DECODE.LCP / CLKS,,,,,,,,ILD_STALL.LCP / CLKS,,Clocks,This metric represents fraction of cycles CPU was stalled due to Length Changing Prefixes (LCPs). Using proper compiler flags or Intel Compiler by default will certainly avoid this. #Link: Optimization Guide about LCP BKMs.,> 0.05 & P; $issueFB,4.6,FetchLat,,pub/v4.4,L3,;bot;,,,See section 'Length-Changing Prefixes (LCP)' in Optimization Manual:,http://www.intel.com/content/www/us/en/architecture-and-technology/64-ia-32-architectures-optimization-manual.html
FE,,,DSB_Switches,,,,,,,,,,,,,,,,,,,,,,,,,,,DSB2MITE_SWITCHES.PENALTY_CYCLES / CLKS,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX ? #NA : FRONTEND_RETIRED.DSB_MISS_PS,Clocks,This metric represents fraction of cycles the CPU was stalled due to switches from DSB to MITE pipelines. The DSB (decoded i-cache) is a Uop Cache where the front-end directly delivers Uops (micro operations) avoiding heavy x86 decoding. The DSB pipeline has shorter latency and delivered higher bandwidth than the MITE (legacy instruction decode pipeline). Switching between the two pipelines can cause penalties hence this metric measures the exposed penalty.,> 0.05 & P; $issueFB,4.3,DSBmiss;FetchLat,,pub/v3.6,L3,;bot;,,,See section 'Optimization for Decoded Icache' in Optimization Manual:,http://www.intel.com/content/www/us/en/architecture-and-technology/64-ia-32-architectures-optimization-manual.html
FE,,Fetch_Bandwidth,,,,,,,,,,,,,,,"max( 0 , Frontend_Bound - Fetch_Latency )",,,,,,,,,,,,,Frontend_Bound - Fetch_Latency,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX/LNL ? #NA : FRONTEND_RETIRED.LATENCY_GE_2_BUBBLES_GE_1;FRONTEND_RETIRED.LATENCY_GE_1;FRONTEND_RETIRED.LATENCY_GE_2,Slots,This metric represents fraction of slots the CPU was stalled due to Frontend bandwidth issues.  For example; inefficiencies at the instruction decoders; or restrictions for caching in the DSB (decoded uops cache) are categorized under Fetch Bandwidth. In such cases; the Frontend typically delivers suboptimal amount of uops to the Backend.,> 0.2; $issueFB,4.7,FetchBW;Frontend;TmaL2,,pub/v3,L2,;bot;,,,,
FE,,,MITE,,,,( IDQ.MITE_UOPS:c8:i1:eq1 / 2 + IDQ.MITE_UOPS / ( IDQ.DSB_UOPS + IDQ.MITE_UOPS ) * ( IDQ_BUBBLES.STARVATION_CYCLES - IDQ_BUBBLES.FETCH_LATENCY ) ) / CLKS ,,,,,,( IDQ.MITE_CYCLES_ANY - IDQ.MITE_CYCLES_OK ) / CORE_CLKS / 2,,,,( IDQ.MITE_CYCLES_ANY - IDQ.MITE_CYCLES_OK ) / CORE_CLKS / 2,,,,,,,,,,,( IDQ.ALL_MITE_CYCLES_ANY_UOPS - IDQ.ALL_MITE_CYCLES_4_UOPS ) / CORE_CLKS / 2,,,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX ? #NA : FRONTEND_RETIRED.ANY_DSB_MISS,Slots_Estimated,This metric represents Core fraction of cycles in which CPU was likely limited due to the MITE pipeline (the legacy decode pipeline). This pipeline is used for code that was not pre-cached in the DSB or LSD. For example; inefficiencies due to asymmetric decoders; use of long immediate or LCP can manifest as MITE fetch bandwidth bottleneck.,> 0.1 & P,5.1,DSBmiss;FetchBW,,pub/v4,L3,,,,Consider tuning codegen of 'small hotspots' that can fit in DSB. Read about 'Decoded ICache' in Optimization Manual:,http://www.intel.com/content/www/us/en/architecture-and-technology/64-ia-32-architectures-optimization-manual.html
FE,,,,Decoder0_Alone,,,#NA,,,,,,,,,,,,,,,( INST_DECODED.DECODERS:c1 - INST_DECODED.DECODERS:c2 ) / CORE_CLKS / 2,,,,,,,,,,Slots_Estimated,This metric represents fraction of cycles where decoder-0 was the only active decoder,> 0.1 & P; $issueD0,4.5,DSBmiss;FetchBW,,,L4,,,,,
FE,,,,MITE_4wide,,,,,,,,,#NA,,,,( IDQ.MITE_UOPS:c4 - IDQ.MITE_UOPS:c5 ) / CLKS,,,,,,,,,,,,,,,Core_Clocks,This metric represents fraction of cycles where (only) 4 uops were delivered by the MITE pipeline,> 0.05 & P,4.4,DSBmiss;FetchBW,,,L4,,,,,
